prioridad,score,etiquetas,title,company,location,mercado_final,is_remote,date_posted,site,busqueda,min_amount,max_amount,currency,job_url,description
P1,17,,Associate Creative Director,Omnicom Health,"Barcelona, CT, ES",barcelona,True,2026-09-03,indeed,creative director,,,,https://es.indeed.com/viewjob?jk=1937c37e5008458c,"**About Remedy Edge Spain:**



Welcome to Remedy Edge Spain. We activate potential, amplify with creativity, and accelerate outcomes. Remedy Edge brings strategic thinking and bold communications to healthcare — cutting through the noise to move people and change results. We don't do comfortable. We do cutting edge. Join us and GET THE EDGE.


**About the role:**



We are looking for an experienced **Associate Creative Director (ACD)** to join our creative international team. In this role, you will lead the development of integrated healthcare campaigns, partnering with cross\-functional teams to deliver innovative, high\-quality creative solutions from concept through execution.


**Key responsibilities:**


* Develop strong creative concepts and integrated campaigns across multiple channels and formats.
* Lead the creative development of projects from initial concept through final execution, ensuring excellence in both visual and verbal communication.
* Transform complex healthcare and scientific information into clear, engaging, and impactful creative solutions.
* Partner with Creative Directors to define and maintain the creative vision and quality of the work.
* Lead, inspire and mentor creative teams, including art directors, copywriters and designers.
* Provide clear, constructive creative feedback that elevates the overall quality of the work.
* Collaborate closely with Strategy, Account, Medical and Production teams.
* Present and defend creative ideas confidently to internal stakeholders and clients.
* Manage multiple projects, priorities and deadlines without compromising creative standards.
* Take ownership of projects, proactively identify challenges and help drive work forward efficiently.


**About you:**



A **creative leader first and foremost**: someone with exceptional conceptual thinking, strong creative instincts, and the ability to recognize, develop and elevate great ideas.



Whether your roots are in **Art, Copy, or both**, you should be comfortable overseeing and guiding all aspects of the creative process, inspiring multidisciplinary teams and taking ownership of projects from concept to execution.



We're looking for someone with the ambition to push the work forward, the creative craft to make it exceptional, and the leadership skills to bring teams along the journey and deliver outstanding results.


**Skills \& Experience**


* **7\-8 years of creative experience in healthcare communications.**
* Strong background in either **Art Direction, Copywriting, or both**, with a portfolio demonstrating outstanding conceptual thinking and creative craft.
* Experience developing integrated campaigns across a variety of channels and touchpoints.
* Strong experience working with pharmaceutical, biotech, medical or health\-related brands.
* **Native\-level English is essential.**
* **Proven ability to lead creative teams and projects.**
* Excellent conceptual thinking, communication and presentation skills.
* Strong expertise in visual storytelling, narrative development, creative strategy and content creation.
* Ability to understand complex scientific information and translate it into compelling creative communications.
* Strong organizational skills and ability to manage multiple priorities simultaneously.
* Good understanding of healthcare regulatory and compliance requirements.
* Collaborative, proactive and solution\-oriented mindset.

  


*Omnicom Health is committed to hiring and developing exceptional talent. We agree that talent is uniquely distributed, and we're focused on developing inclusive teams that can bring the best solutions to everything we do. We strongly believe that celebrating what makes us different makes us better together. Join us—we look forward to getting to know you. We will process your personal data in accordance with our* *Recruitment Privacy Notice**.*"
P1,17,,Creative Strategist for Meta & TikTok Ads (100% Remote),LURN MEDIA,"Barcelona, Catalonia, Spain",barcelona,True,2026-09-04,linkedin,creative strategist,,,,https://www.linkedin.com/jobs/view/4461144431,
P1,16,,Associate Creative Director,Remedy Edge Spain,"Barcelona, CT, ES",barcelona,False,2026-09-03,indeed,creative director,,,,https://es.indeed.com/viewjob?jk=3be87d42cca331b4,"**About Remedy Edge Spain:**



Welcome to Remedy Edge Spain. We activate potential, amplify with creativity, and accelerate outcomes. Remedy Edge brings strategic thinking and bold communications to healthcare — cutting through the noise to move people and change results. We don't do comfortable. We do cutting edge. Join us and GET THE EDGE.


**About the role:**



We are looking for an experienced **Associate Creative Director (ACD)** to join our creative international team. In this role, you will lead the development of integrated healthcare campaigns, partnering with cross\-functional teams to deliver innovative, high\-quality creative solutions from concept through execution.


**Key responsibilities:**


* Develop strong creative concepts and integrated campaigns across multiple channels and formats.
* Lead the creative development of projects from initial concept through final execution, ensuring excellence in both visual and verbal communication.
* Transform complex healthcare and scientific information into clear, engaging, and impactful creative solutions.
* Partner with Creative Directors to define and maintain the creative vision and quality of the work.
* Lead, inspire and mentor creative teams, including art directors, copywriters and designers.
* Provide clear, constructive creative feedback that elevates the overall quality of the work.
* Collaborate closely with Strategy, Account, Medical and Production teams.
* Present and defend creative ideas confidently to internal stakeholders and clients.
* Manage multiple projects, priorities and deadlines without compromising creative standards.
* Take ownership of projects, proactively identify challenges and help drive work forward efficiently.


**About you:**



A **creative leader first and foremost**: someone with exceptional conceptual thinking, strong creative instincts, and the ability to recognize, develop and elevate great ideas.



Whether your roots are in **Art, Copy, or both**, you should be comfortable overseeing and guiding all aspects of the creative process, inspiring multidisciplinary teams and taking ownership of projects from concept to execution.



We're looking for someone with the ambition to push the work forward, the creative craft to make it exceptional, and the leadership skills to bring teams along the journey and deliver outstanding results.


**Skills \& Experience**


* **7\-8 years of creative experience in healthcare communications.**
* Strong background in either **Art Direction, Copywriting, or both**, with a portfolio demonstrating outstanding conceptual thinking and creative craft.
* Experience developing integrated campaigns across a variety of channels and touchpoints.
* Strong experience working with pharmaceutical, biotech, medical or health\-related brands.
* **Native\-level English is essential.**
* **Proven ability to lead creative teams and projects.**
* Excellent conceptual thinking, communication and presentation skills.
* Strong expertise in visual storytelling, narrative development, creative strategy and content creation.
* Ability to understand complex scientific information and translate it into compelling creative communications.
* Strong organizational skills and ability to manage multiple priorities simultaneously.
* Good understanding of healthcare regulatory and compliance requirements.
* Collaborative, proactive and solution\-oriented mindset.


*Omnicom Health is committed to hiring and developing exceptional talent. We agree that talent is uniquely distributed, and we're focused on developing inclusive teams that can bring the best solutions to everything we do. We strongly believe that celebrating what makes us different makes us better together. Join us—we look forward to getting to know you. We will process your personal data in accordance with our* *Recruitment Privacy Notice**.*"
P1,16,,Freelance Art Director,REMEDY EDGE™ SPAIN,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-09,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4465066084,
P1,16,,Creative Lead,Alea,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-08,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4464446978,
P1,16,,"Responsable de Comunicación Corporativa, Cultura y RSC",Moventia,"Sant Cugat del Vallès, Catalonia, Spain",barcelona,False,2026-09-07,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4462925760,
P1,16,,Game Design Director - Star Trek Fleet Command,Scopely,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-05,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4454845969,
P1,16,,Associate Creative Director,REMEDY EDGE™ SPAIN,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-03,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4463103745,
P1,16,,Head of Brand & Communication,Viena,"Terrassa, Catalonia, Spain",barcelona,False,2026-09-01,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4461569709,
P1,16,,Creative Studio Director,Spherical,"Barcelona, Catalonia, Spain",barcelona,False,,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4464899453,
